g7779.t1	PF00370	FGGY family of carbohydrate kinases, N-terminal domain	1384	1521
g7779.t1	PF00370	FGGY family of carbohydrate kinases, N-terminal domain	1243	1355
g7779.t1	PF02782	FGGY family of carbohydrate kinases, C-terminal domain	1530	1728
g1693.t1	PF13966	zinc-binding in reverse transcriptase	1494	1572
g261.t1	PF20160	C-JID domain	923	1047
g15743.t1	PF13962	Domain of unknown function	970	1073
g6553.t1	PF20160	C-JID domain	879	1001
g16239.t1	PF00847	AP2 domain	819	861
g14843.t1	PF14223	gag-polypeptide of LTR copia-type	958	1040
g3967.t1	PF20160	C-JID domain	1009	1132
g3832.t1	PF03055	Retinal pigment epithelial membrane protein	1274	1353
g6496.t1	PF05678	VQ motif	232	257
g3855.t1	PF02045	CCAAT-binding transcription factor (CBF-B/NF-YA) subunit B	1131	1153
g2663.t1	PF00098	Zinc knuckle	709	725
g2663.t1	PF03732	Retrotransposon gag protein	511	609
g6462.t1	PF00071	Ras family	1476	1576
g9180.t1	PF02892	BED zinc finger	10	40
g3610.t2	PF00069	Protein kinase domain	262	516
g1739.t1	PF00861	Ribosomal L18 of archaea, bacteria, mitoch. and chloroplast	1643	1746
g2477.t1	PF12481	Aluminium induced protein	1483	1547
g9705.t1	PF20160	C-JID domain	998	1086
g6564.t1	PF20160	C-JID domain	765	891
g2992.t1	PF17917	RNase H-like domain found in reverse transcriptase	3279	3372
g2992.t1	PF10409	C2 domain of PTEN tumour-suppressor protein	533	672
g2992.t1	PF00098	Zinc knuckle	2758	2774
g2992.t1	PF17921	Integrase zinc binding domain	3448	3503
g2992.t1	PF08284	Retroviral aspartyl protease	2808	2935
g2992.t1	PF24626	Tf2-1-like, SH3 domain	3695	3759
g2992.t1	PF03732	Retrotransposon gag protein	2565	2661
g2992.t1	PF00078	Reverse transcriptase (RNA-dependent DNA polymerase)	3067	3227
g2992.t1	PF00069	Protein kinase domain	69	306
g3610.t1	PF00069	Protein kinase domain	168	422
g2482.t1	PF12481	Aluminium induced protein	1668	1709
g2482.t1	PF12481	Aluminium induced protein	1522	1639
g9912.t1	PF03106	WRKY DNA -binding domain	750	809
g9912.t1	PF03106	WRKY DNA -binding domain	438	497
g9912.t1	PF03106	WRKY DNA -binding domain	1143	1179
g9912.t1	PF03106	WRKY DNA -binding domain	125	185
g4829.t1	PF22600	Poly(A) RNA polymerase, mitochondrial-like, central palm domain	1864	1992
g4829.t1	PF14244	gag-polypeptide of LTR copia-type	980	1026
g4829.t1	PF03828	Cid1 family poly A polymerase	2047	2105
g11101.t1	PF13968	Domain of unknown function (DUF4220)	1002	1370
g11101.t1	PF04578	Protein of unknown function, DUF594	1637	1690
g7577.t1	PF07727	Reverse transcriptase (RNA-dependent DNA polymerase)	1	62
g3547.t1	PF13966	zinc-binding in reverse transcriptase	1329	1385
g5911.t1	PF22936	Pol polyprotein, beta-barrel domain	379	452
g5911.t1	PF07727	Reverse transcriptase (RNA-dependent DNA polymerase)	1011	1254
g5911.t1	PF14244	gag-polypeptide of LTR copia-type	43	85
g5911.t1	PF00665	Integrase core domain	566	667
g5911.t1	PF13976	GAG-pre-integrase domain	484	553
g11360.t1	PF20160	C-JID domain	930	1052
g13190.t1	PF20160	C-JID domain	965	1085
g9097.t1	PF00067	Cytochrome P450	1835	1926
g2879.t1	PF00081	Iron/manganese superoxide dismutases, alpha-hairpin domain	977	1025
g6609.t1	PF24289	Domain of unknown function (DUF7477)	939	982
g6634.t1	PF03110	SBP domain	125	155
g1690.t1	PF06026	Ribose 5-phosphate isomerase A (phosphoriboisomerase A)	1644	1719
g5939.t1	PF22936	Pol polyprotein, beta-barrel domain	379	452
g5939.t1	PF07727	Reverse transcriptase (RNA-dependent DNA polymerase)	1011	1254
g5939.t1	PF00665	Integrase core domain	566	667
g5939.t1	PF14244	gag-polypeptide of LTR copia-type	43	85
g5939.t1	PF13976	GAG-pre-integrase domain	484	553
g11769.t1	PF07727	Reverse transcriptase (RNA-dependent DNA polymerase)	1191	1294
g1746.t1	PF00270	DEAD/DEAH box helicase	344	514
g3364.t1	PF20160	C-JID domain	980	1099
g548.t1	PF17919	RNase H-like domain found in reverse transcriptase	74	133
g548.t1	PF17921	Integrase zinc binding domain	232	288
g1452.t1	PF23952	Endo-beta-N-acetylglucosaminidase EndoS LRR domain	1169	1248
g11356.t1	PF20160	C-JID domain	930	1052
g1683.t2	PF13966	zinc-binding in reverse transcriptase	1611	1689
g1683.t2	PF06026	Ribose 5-phosphate isomerase A (phosphoriboisomerase A)	1771	1840
g3361.t1	PF20160	C-JID domain	992	1114
g14161.t1	PF00076	RNA recognition motif	21	78
g14161.t1	PF13968	Domain of unknown function (DUF4220)	1236	1592
g14161.t1	PF04578	Protein of unknown function, DUF594	1816	1868
g6551.t1	PF20160	C-JID domain	737	860
g2995.t1	PF10409	C2 domain of PTEN tumour-suppressor protein	634	773
g2995.t1	PF07714	Protein tyrosine and serine/threonine kinase	159	297
g7266.t1	PF00875	DNA photolyase	999	1076
g12489.t1	PF13456	Reverse transcriptase-like	1591	1717
g6623.t1	PF13976	GAG-pre-integrase domain	479	526
g6623.t1	PF00665	Integrase core domain	544	640
g6623.t1	PF07727	Reverse transcriptase (RNA-dependent DNA polymerase)	901	1139
g6623.t1	PF22936	Pol polyprotein, beta-barrel domain	354	431
g2989.t1	PF07714	Protein tyrosine and serine/threonine kinase	59	315
g3828.t1	PF01277	Oleosin	30	105
g7779.t2	PF00370	FGGY family of carbohydrate kinases, N-terminal domain	1373	1510
g7779.t2	PF00370	FGGY family of carbohydrate kinases, N-terminal domain	1232	1344
g7779.t2	PF02782	FGGY family of carbohydrate kinases, C-terminal domain	1519	1717
g3959.t1	PF20160	C-JID domain	991	1115
g3001.t1	PF10409	C2 domain of PTEN tumour-suppressor protein	189	324
g1442.t1	PF23952	Endo-beta-N-acetylglucosaminidase EndoS LRR domain	1210	1294
g14093.t1	PF16363	GDP-mannose 4,6 dehydratase	1012	1215
g7497.t1	PF16211	C-terminus of histone H2A	1059	1092
g14095.t1	PF16363	GDP-mannose 4,6 dehydratase	933	1070
g14095.t1	PF16363	GDP-mannose 4,6 dehydratase	1090	1130
g3961.t1	PF20160	C-JID domain	1303	1426
g4450.t1	PF13456	Reverse transcriptase-like	1297	1369
g3401.t1	PF02892	BED zinc finger	247	282
g3848.t1	PF13359	DDE superfamily endonuclease	1308	1464
g4052.t1	PF10217	Uncharacterized conserved protein (DUF2039)	1163	1201
g10696.t1	PF13456	Reverse transcriptase-like	1534	1657
g10696.t1	PF13966	zinc-binding in reverse transcriptase	1329	1427
g3966.t1	PF20160	C-JID domain	868	989
g3966.t1	PF20160	C-JID domain	2155	2276
g14041.t1	PF22936	Pol polyprotein, beta-barrel domain	1395	1467
g2982.t1	PF10409	C2 domain of PTEN tumour-suppressor protein	188	328
